max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
1.000000000000000000e+00,-1.262814048756269979e-03,-8.082431475173040836e-03,1.257515513263975093e-02,1.059871303107368101e-02,2.245262206858235743e+00
1.000000000000000000e+00,1.116497912547528663e-02,-3.493142089528923633e-03,1.684223731685802194e-02,9.582787302867601387e-03,1.383826743961992678e+00
1.000000000000000000e+00,-5.727674452393342885e-02,-7.109519751830914447e-02,-2.366638785108602858e-02,-3.090451533384323823e-02,1.554258202067109185e+00
1.000000000000000000e+00,5.069805956262340985e-02,2.083621334450939944e-02,8.527238354841906731e-02,6.775011783310933011e-02,2.263268804960899327e+00
1.000000000000000000e+00,-1.546309535206134012e-01,-1.839856799663367182e-01,-9.820246442832664124e-02,-1.084598150865880017e-01,2.235656039570654396e+00
1.000000000000000000e+00,-3.954995726630666786e-02,-7.694802389964641720e-02,-2.507808267000304070e-02,-3.063086416787601240e-02,2.414424008611693484e+00
1.000000000000000000e+00,-8.412595198637543015e-02,-9.811076436415289148e-02,-6.664126223189367759e-02,-5.596451849022873737e-02,3.060925786379697922e+00
1.000000000000000000e+00,-5.694338473881235124e-02,-8.057298853649291770e-02,-7.256599156915660015e-03,-2.414125042297924836e-02,2.374507739516428906e+00
1.000000000000000000e+00,-2.762242821409918725e-02,-3.482071170954156858e-02,-1.787106499840641904e-02,-1.798643087008602870e-02,1.894869717248556462e+00
1.000000000000000000e+00,-5.911053521594841228e-05,-5.882976107081883121e-03,1.133820762195060505e-02,8.846836652716759397e-03,1.674303596018159590e+00
1.000000000000000000e+00,-2.872530199531524511e-02,-5.390650256255924422e-02,4.853471893896607603e-03,-6.207412236897878743e-03,1.583954149476128226e+00
1.000000000000000000e+00,9.482439373680526251e-03,-5.108439011756615855e-03,3.878444050983950731e-02,2.944844868688376027e-02,1.606110842574607789e+00
1.000000000000000000e+00,5.381316716293811642e-02,4.026380117201558417e-02,7.280507490951300398e-02,5.961941020523893464e-02,1.334846016009181291e+00
3.000000000000000000e+00,-2.819077636332237638e-02,-1.215222104861361924e-01,-1.900117405132469017e-03,-5.134025080088311377e-03,4.113637684178937270e+00
3.000000000000000000e+00,-5.031932358297399599e-01,-5.193594542894116595e-01,-2.804543156954902861e-01,-1.414995725008268979e-01,7.089210169046040733e+00
3.000000000000000000e+00,-1.610776274560825339e-02,-4.734353938983124066e-02,1.209798402680803409e-02,-3.680054182924774597e-03,2.352606520664739076e+00
3.000000000000000000e+00,-4.209357162224118265e-01,-4.627170411412320217e-01,-1.747341063398557548e-01,-1.288521804492080425e-01,6.277581349359942386e+00
3.000000000000000000e+00,-4.171482225319637083e-01,-4.780621791727747705e-01,-1.701565438558753085e-01,-9.639093149306435238e-02,7.582087481437484122e+00
3.000000000000000000e+00,-1.785071827340394823e-01,-4.201761180452913691e-01,5.901122043634776659e-02,1.021596573479051084e-01,7.522668372957041605e+00
3.000000000000000000e+00,-3.489318314137161425e-01,-6.402251299707346632e-01,7.646310909875442263e-02,4.880202673412725733e-02,6.469811176578299516e+00
3.000000000000000000e+00,-6.646114193116661184e-01,-6.797057028427442305e-01,-1.985764733695133399e-01,-1.443798136717902025e-01,8.124640037915186852e+00
