exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
-5.711882866622471078e-02,-6.015944093350365091e-02,3.483558845151679684e+00,1.000000000000000056e-01,-5.408223162202688283e-02,1.663503599391378540e-01
-7.344683353730192994e-03,-7.337006132179391647e-03,1.539841482737823730e-01,1.000000000000000056e-01,-7.352913623239577985e-03,3.845468233559037191e-02
-1.255755227443009284e-02,-1.234602774216723119e-02,3.203207641273559148e+01,1.000000000000000056e-01,-1.277262518854531230e-02,7.570881214462676922e-02
7.893782664916690339e-02,8.013626010329528981e-02,4.151098637426841975e+01,9.999999999999999167e-02,7.771261646532215406e-02,1.330217458509416750e-01
1.921396998134174139e-02,1.921219766326791312e-02,4.698463603294185553e+00,1.000000000000000056e-01,1.921475593537814650e-02,2.567820377747205216e-02
3.572094496634986983e-04,3.960945267166746629e-04,1.216831063881483388e+01,1.000000000000000056e-01,3.181365540617348648e-04,3.189506151429488678e-02
-9.198102260590695911e-02,-9.234537033358944380e-02,7.899493150195771030e+00,9.999999999999999167e-02,-9.161489783924570141e-02,7.917095847594841918e-02
-3.602061910297729708e-02,-3.603870881626202588e-02,6.616504597394856191e+00,1.000000000000000056e-01,-3.600142050598709176e-02,4.877841704820212732e-02
2.125625712691328953e-02,2.109678323636688876e-02,2.408963078807264324e+01,1.000000000000000056e-01,2.141642234217433841e-02,1.108323095306141398e-01
-1.411444708287955541e-01,-1.422775680169028889e-01,9.589905917132620417e+00,9.999999999999997780e-02,-1.400092388086389417e-01,1.070683735409436454e-01
2.852315629591146485e-04,4.166912501968065359e-04,3.163300872433196531e+01,1.000000000000000056e-01,1.532576804410111125e-04,2.581694166023303441e-02
-6.721226457553772932e-03,-6.710853926934534468e-03,7.081661913902808081e+00,9.999999999999999167e-02,-6.731579157214071310e-03,2.920991453359087636e-02
-1.413139266658439662e-02,-1.408427530842395504e-02,5.197369639212781500e+00,9.999999999999997780e-02,-1.417890889537811415e-02,3.929764314661036290e-02
2.905210755636163794e-02,2.889148665080962589e-02,6.215599168714637024e+00,1.000000000000000056e-01,2.921195667444240890e-02,5.272695111421227265e-02
-1.891753794076009576e-01,-1.792272250303416359e-01,1.564329562138043173e+02,9.999999999999997780e-02,-1.991215813120973399e-01,4.374844201773801511e-01
-4.020660824241582137e-02,-3.928489134196730403e-02,2.829696014583591079e+01,9.999999999999999167e-02,-4.111912712215562427e-02,9.386399811298547224e-02
1.190126204272459742e-02,1.189477872684586122e-02,2.870167086635996956e+00,9.999999999999999167e-02,1.190663694017249016e-02,3.398958249808777671e-02
-1.378717332782548009e-02,-1.374325838656104831e-02,4.160309055558216507e+00,9.999999999999999167e-02,-1.383118303668375362e-02,3.985999349500369410e-02
9.223561571455051594e-03,9.381649715957323526e-03,2.849682368034850555e+01,9.999999999999999167e-02,9.064532543417835181e-03,3.428414992752606277e-02
4.251900361828260533e-02,4.175675306776923529e-02,1.801001107277237168e+00,1.000000000000000056e-01,4.327822195748359108e-02,9.673676621753034277e-02
-8.006297906488421545e-02,-7.831860299759173250e-02,4.876967130306168485e+01,9.999999999999999167e-02,-8.181032487909892237e-02,1.692161711454241435e-01
4.376508086971346578e-02,4.251573762152632829e-02,5.537559827066624862e+00,9.999999999999999167e-02,4.500998249171957871e-02,1.158318046879679153e-01
-7.824761544434873442e-03,-7.224468627331350444e-03,2.267959363349866209e+01,1.000000000000000056e-01,-8.423580038373594189e-03,9.075685896988930357e-02
1.156946561298569792e-02,1.152955847764949165e-02,1.901160098884942862e+00,1.000000000000000056e-01,1.160930640228411206e-02,3.205861810314634963e-02
7.527406093265191084e-03,7.535852358877249968e-03,1.663249949192096289e-01,1.000000000000000472e-01,7.517699267463352764e-03,2.720628601774556857e-02
1.147156457843603351e-02,1.144348882989141593e-02,1.713047501225213542e+00,9.999999999999999167e-02,1.149866911222150075e-02,3.511191061023282572e-02
2.465273554553892854e-02,2.437980270511189498e-02,6.630357187069184199e+00,1.000000000000000056e-01,2.492538736333039032e-02,7.712982393317609209e-02
-9.697274191943397459e-03,-9.635623833361946569e-03,1.265339737881503268e+01,1.000000000000000056e-01,-9.759122685831159508e-03,2.462918713209889116e-02
6.332985836159189807e-02,6.372162586033816578e-02,2.163618937534323194e+01,1.000000000000000056e-01,6.292892651230906631e-02,8.431489628594050767e-02
1.437645571632346908e-02,1.433055538874431281e-02,5.282935395725293359e-01,1.000000000000000056e-01,1.442048198080687384e-02,4.736029962696690354e-02
6.835217648357876704e-04,6.960571191246213343e-04,1.492164372102669834e+00,1.000000000000000056e-01,6.699505074750727006e-04,1.487324966252605296e-02
-1.942037404078271468e-02,-1.940847683528999432e-02,1.432046625266799467e+01,1.000000000000000056e-01,-1.943324937308747030e-02,5.758111533289544254e-02
-1.502754466621304130e-01,-1.515105872489141414e-01,1.449662678683101191e+01,1.000000000000000056e-01,-1.490379679858995221e-01,1.167743513498479824e-01
1.109069149724408072e-02,1.118066388363495207e-02,5.050166465955332917e+00,1.000000000000000194e-01,1.100061786368035886e-02,4.741984603868124037e-02
4.124161778784806061e-03,4.023457539463864453e-03,1.960880365415872406e+00,9.999999999999999167e-02,4.224609542928647182e-03,2.804961550808410253e-02
-2.918046779340137745e-02,-2.956522414434118937e-02,1.752664721918859581e-01,9.999999999999997780e-02,-2.879387595867815772e-02,7.545677041417979403e-02
8.616120227651861974e-02,8.673548201957488601e-02,2.979707150125195270e+01,9.999999999999999167e-02,8.556213937811887882e-02,1.233207457410899904e-01
-2.547665091847215943e-02,-3.804088730742058184e-03,3.963934527474788752e+02,1.000000000000000194e-01,-4.775078584855193403e-02,5.036664764998634025e-01
-4.850781427060384642e-03,-4.775089890653831659e-03,1.680293572052470097e+01,9.999999999999997780e-02,-4.927660868580140477e-03,2.751792508962278699e-02
2.065025564441030567e-02,2.087253510185070604e-02,1.370925116690195722e+01,1.000000000000000056e-01,2.042938125406988312e-02,1.042203218990501723e-01
-6.133415684566835557e-02,-6.136534043762909008e-02,6.092304776491475060e+00,1.000000000000000056e-01,-6.130372404399495739e-02,5.122912848793109014e-02
1.068841275700394555e-01,1.070052473522663805e-01,1.247640721291607591e+01,9.999999999999999167e-02,1.067618657071552762e-01,1.503448918066165318e-01
-2.227081607080377487e-02,-2.195275196721451980e-02,2.581806796339958510e+01,1.000000000000000056e-01,-2.258722296226362003e-02,5.235204287155007657e-02
