B,eps_target,eps_hat,ln_nu_ratio,h,bound,h_over_bound,lin_ratio
12,0.1,0.105544,0.0544917,0.00153973,43.4238,3.54581e-05,0.00584725
12,0.1,0.100207,-0.0101338,5.10015e-05,39.143,1.30295e-06,0.00114533
12,0.1,0.0987482,-0.163223,0.0119564,38.0116,0.000314545,0.0187201
12,0.1,0.0981689,-0.020805,0.000213445,37.5669,5.68174e-06,0.00240021
12,0.1,0.0999162,0.000683908,2.33972e-07,38.9162,6.0122e-09,7.75207e-05
12,0.1,0.0992597,-0.144431,0.00947819,38.4064,0.000246787,0.0164795
12,0.1,0.0999768,-0.000220968,2.44098e-08,38.9633,6.26482e-10,2.50315e-05
12,0.1,0.0999924,-0.0013322,8.86594e-07,38.9755,2.27475e-08,0.00015089
12,0.1,0.100419,-0.00799531,3.17926e-05,39.3089,8.08789e-07,0.000901726
12,0.1,0.101836,-0.0180585,0.000161104,40.4259,3.98517e-06,0.00200833
12,0.1,0.0987709,-0.0144887,0.000103953,38.0291,2.73351e-06,0.00166133
12,0.1,0.0995702,0.0100285,5.06226e-05,38.647,1.30987e-06,0.00114068
12,0.1,0.0994342,0.145857,0.0117303,38.5415,0.000304354,0.0166129
12,0.1,0.0999337,-0.00810841,3.2696e-05,38.9297,8.39873e-07,0.000918925
12,0.1,0.100703,0.0196437,0.000195483,39.5311,4.94505e-06,0.00220922
12,0.1,0.0841984,-3.67135,0.881151,27.6354,0.0318849,0.49383
12,0.1,0.097562,-0.00193557,1.87079e-06,37.1039,5.04204e-08,0.00022469
12,0.1,0.0999468,-0.000304538,4.63622e-08,38.94,1.19061e-09,3.45087e-05
12,0.1,0.0999921,-0.000658056,2.16424e-07,38.9753,5.55285e-09,7.45338e-05
12,0.1,0.0992061,0.32967,0.0679002,38.3649,0.00176985,0.0376355
12,0.1,0.0997082,-0.00147616,1.08845e-06,38.7543,2.80859e-08,0.000167671
12,0.1,0.098412,0.105205,0.00593792,37.7532,0.000157283,0.0121072
12,0.1,0.10055,0.0823928,0.00358662,39.4115,9.10045e-05,0.00928032
12,0.1,0.100119,0.00591651,1.75717e-05,39.0746,4.49697e-07,0.000669273
12,0.1,0.147916,1.26898,1.95681,85.2885,0.0229435,0.0971614
12,0.1,0.0985256,0.0404824,0.000841866,37.8404,2.22478e-05,0.00465343
12,0.1,0.0992157,0.00438934,9.66138e-06,38.3723,2.5178e-07,0.000501043
12,0.1,0.0997649,0.0179147,0.000162398,38.7984,4.18569e-06,0.00203371
12,0.1,0.100193,-0.00436523,9.49995e-06,39.1319,2.42768e-07,0.000493432
12,0.1,0.0979582,0.0449269,0.00103996,37.4058,2.7802e-05,0.00519424
12,0.1,0.100879,-0.0237409,0.000277394,39.6694,6.99266e-06,0.00266535
12,0.1,0.0989001,-0.13954,0.00887575,38.1287,0.000232784,0.0159794
12,0.1,0.100616,-0.0385685,0.000724914,39.4635,1.83692e-05,0.0043413
12,0.1,0.0999291,-0.000766295,2.93454e-07,38.9262,7.53873e-09,8.6848e-05
12,0.1,0.101131,-0.0855356,0.00345611,39.8685,8.66878e-05,0.00957893
12,0.1,0.0998175,0.00338978,5.75829e-06,38.8393,1.4826e-07,0.00038461
