x,V,nu
-1.254836557705136801e+00,2.641457223405345722e+00,1.372231159756475830e-06
-1.252434956637758612e+00,2.586386913922295694e+00,1.478945300505305911e-06
-1.250033355570380422e+00,2.532000565978093753e+00,1.593002101561243536e-06
-1.247631754503002011e+00,2.478294851886094108e+00,1.714832547307661304e-06
-1.245230153435623821e+00,2.425266450346772018e+00,1.844887761155906872e-06
-1.242828552368245631e+00,2.372912046447709145e+00,1.983639624353257743e-06
-1.240426951300867220e+00,2.321228331663601985e+00,2.131581405581775098e-06
-1.238025350233489030e+00,2.270212003856269867e+00,2.289228396571829954e-06
-1.235623749166110841e+00,2.219859767274639406e+00,2.457118534567959994e-06
-1.233222148098732429e+00,2.170168332554746726e+00,2.635813045076504886e-06
-1.230820547031354462e+00,2.121134416719762772e+00,2.825897067165306918e-06
-1.228418945963976050e+00,2.072754743179941350e+00,3.027980295368937745e-06
-1.226017344896597860e+00,2.025026041732680415e+00,3.242697599741146382e-06
-1.223615743829219671e+00,1.977945048562477881e+00,3.470709644063165695e-06
-1.221214142761841259e+00,1.931508506240943612e+00,3.712703530932121152e-06
-1.218812541694463070e+00,1.885713163726815855e+00,3.969393412995923432e-06
-1.216410940627084880e+00,1.840555776365933260e+00,4.241521093340644603e-06
-1.214009339559706468e+00,1.796033105891250647e+00,4.529856646160456093e-06
-1.211607738492328279e+00,1.752141920422849442e+00,4.835199026389319589e-06
-1.209206137424950089e+00,1.708878994467913470e+00,5.158376648440396591e-06
-1.206804536357571678e+00,1.666241108920738290e+00,5.500247972842375361e-06
-1.204402935290193488e+00,1.624225051062749614e+00,5.861702086675663229e-06
-1.202001334222815299e+00,1.582827614562474894e+00,6.243659283469567788e-06
-1.199599733155436887e+00,1.542045599475553530e+00,6.647071610462985238e-06
-1.197198132088058919e+00,1.501875812244758857e+00,7.072923412797728308e-06
-1.194796531020680508e+00,1.462315065699949734e+00,7.522231893567950120e-06
-1.192394929953302318e+00,1.423360179058124286e+00,7.996047605441365970e-06
-1.189993328885924129e+00,1.385007977923383926e+00,8.495454978138744176e-06
-1.187591727818545717e+00,1.347255294286941796e+00,9.021572845120257305e-06
-1.185190126751167528e+00,1.310098966527136088e+00,9.575554913978951221e-06
-1.182788525683789338e+00,1.273535839409411619e+00,1.015859022867177267e-05
-1.180386924616410926e+00,1.237562764086325817e+00,1.077190366032633414e-05
-1.177985323549032737e+00,1.202176598097560722e+00,1.141675636980813394e-05
-1.175583722481654547e+00,1.167374205369902551e+00,1.209444622119050411e-05
-1.173182121414276136e+00,1.133152456217252801e+00,1.280630822181763557e-05
-1.170780520346898168e+00,1.099508227340641575e+00,1.355371496239590425e-05
-1.168378919279519756e+00,1.066438401828187388e+00,1.433807697482867574e-05
-1.165977318212141567e+00,1.033939869155149127e+00,1.516084316924632901e-05
-1.163575717144763377e+00,1.002009525183884975e+00,1.602350121203082494e-05
-1.161174116077384966e+00,9.706442721638697257e-01,1.692757786467717626e-05
-1.158772515010006776e+00,9.398410187317008946e-01,1.787463942849964972e-05
-1.156370913942628587e+00,9.095966799110817291e-01,1.886629205335597827e-05
-1.153969312875250175e+00,8.799081771128290930e-01,1.990418203540736535e-05
-1.151567711807871985e+00,8.507724381348826803e-01,2.098999623630063666e-05
-1.149166110740493796e+00,8.221863971622905831e-01,2.212546243135188369e-05
-1.146764509673115384e+00,7.941469947672132879e-01,2.331234958869428270e-05
-1.144362908605737195e+00,7.666511779089334455e-01,2.455246822466175880e-05
-1.141961307538359005e+00,7.396958999338428820e-01,2.584767071746724821e-05
-1.139559706470980593e+00,7.132781205754454845e-01,2.719985166504271389e-05
-1.137158105403602626e+00,6.873948059543704137e-01,2.861094820977543306e-05
-1.134756504336224214e+00,6.620429285783445694e-01,3.008294039702765510e-05
-1.132354903268846025e+00,6.372194673422258981e-01,3.161785140992837134e-05
-1.129953302201467835e+00,6.129214075279763030e-01,3.321774806659422846e-05
-1.127551701134089424e+00,5.891457408046737454e-01,3.488474113240642212e-05
-1.125150100066711234e+00,5.658894652285171301e-01,3.662098555835887351e-05
-1.122748498999333044e+00,5.431495852428123161e-01,3.842868104921111827e-05
-1.120346897931954633e+00,5.209231116779812210e-01,4.031007236315760605e-05
-1.117945296864576443e+00,4.992070617515644848e-01,4.226744974419049814e-05
-1.115543695797198254e+00,4.779984590682130330e-01,4.430314934401940265e-05
-1.113142094729819842e+00,4.572943336196900188e-01,4.641955374527366495e-05
